INFO 2025-06-03 10:06:40,079 autoreload 11692 13740 Watching for file changes with StatReloader
INFO 2025-06-03 10:06:56,082 basehttp 11692 8584 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:06:56,085 middleware 11692 2064 API: GET /api/language-selector-config/
INFO 2025-06-03 10:06:56,179 basehttp 11692 2064 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:07:12,809 basehttp 11692 8584 "OPTIONS /api/evaluaciones/160/detalles/ HTTP/1.1" 200 0
INFO 2025-06-03 10:07:12,811 middleware 11692 2064 API: GET /api/evaluaciones/160/detalles/
INFO 2025-06-03 10:07:13,066 basehttp 11692 2064 "GET /api/evaluaciones/160/detalles/ HTTP/1.1" 200 1868
INFO 2025-06-03 10:07:13,143 basehttp 11692 8584 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:07:13,147 middleware 11692 2064 API: GET /api/language-selector-config/
INFO 2025-06-03 10:07:13,149 basehttp 11692 11440 "OPTIONS /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 0
INFO 2025-06-03 10:07:13,156 middleware 11692 8828 API: POST /api/evaluaciones/160/inscribir/
INFO 2025-06-03 10:07:13,194 basehttp 11692 2064 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:07:13,238 basehttp 11692 8828 "POST /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 72
INFO 2025-06-03 10:07:14,312 basehttp 11692 11440 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:07:14,314 middleware 11692 8828 API: GET /api/language-selector-config/
INFO 2025-06-03 10:07:14,322 basehttp 11692 8828 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:07:44,544 basehttp 11692 11440 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:07:44,546 middleware 11692 8828 API: GET /api/language-selector-config/
INFO 2025-06-03 10:07:44,551 basehttp 11692 8828 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:08:14,538 basehttp 11692 11440 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:08:14,540 middleware 11692 8828 API: GET /api/language-selector-config/
INFO 2025-06-03 10:08:14,545 basehttp 11692 8828 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:08:44,543 basehttp 11692 11440 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:08:44,546 middleware 11692 8828 API: GET /api/language-selector-config/
INFO 2025-06-03 10:08:44,551 basehttp 11692 8828 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:09:14,560 basehttp 11692 11440 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:09:14,563 middleware 11692 8828 API: GET /api/language-selector-config/
INFO 2025-06-03 10:09:14,570 basehttp 11692 8828 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:09:29,633 autoreload 11692 13740 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:09:31,598 autoreload 7880 12984 Watching for file changes with StatReloader
INFO 2025-06-03 10:09:44,865 basehttp 7880 11928 "OPTIONS /api/evaluaciones/160/detalles/ HTTP/1.1" 200 0
INFO 2025-06-03 10:09:44,876 middleware 7880 7688 API: GET /api/evaluaciones/160/detalles/
INFO 2025-06-03 10:09:45,063 basehttp 7880 7688 "GET /api/evaluaciones/160/detalles/ HTTP/1.1" 200 1868
INFO 2025-06-03 10:09:45,160 basehttp 7880 11928 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:09:45,164 middleware 7880 7688 API: GET /api/language-selector-config/
INFO 2025-06-03 10:09:45,168 basehttp 7880 14280 "OPTIONS /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 0
INFO 2025-06-03 10:09:45,172 basehttp 7880 7688 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:09:45,399 middleware 7880 15116 API: POST /api/evaluaciones/160/inscribir/
INFO 2025-06-03 10:09:45,433 basehttp 7880 15116 "POST /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 72
INFO 2025-06-03 10:09:45,487 basehttp 7880 14280 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:09:45,489 middleware 7880 15116 API: GET /api/language-selector-config/
INFO 2025-06-03 10:09:45,513 basehttp 7880 15116 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:10:14,667 autoreload 7880 12984 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:10:15,812 autoreload 13900 3528 Watching for file changes with StatReloader
INFO 2025-06-03 10:10:17,038 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:10:17,041 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:10:17,071 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:10:45,555 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:10:45,559 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:10:45,569 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:11:15,554 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:11:15,557 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:11:15,564 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:11:45,552 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:11:45,556 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:11:45,563 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:12:15,550 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:12:15,552 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:12:15,557 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:12:45,567 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:12:45,570 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:12:45,579 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:13:19,968 basehttp 13900 15172 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:13:19,972 middleware 13900 5980 API: GET /api/language-selector-config/
INFO 2025-06-03 10:13:20,255 basehttp 13900 5980 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:13:45,485 basehttp 13900 15172 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:13:45,488 middleware 13900 5980 API: GET /api/language-selector-config/
INFO 2025-06-03 10:13:45,517 basehttp 13900 5980 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:14:15,500 basehttp 13900 9772 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:14:15,503 middleware 13900 3544 API: GET /api/language-selector-config/
INFO 2025-06-03 10:14:15,508 basehttp 13900 3544 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:14:45,509 basehttp 13900 13152 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:14:45,516 middleware 13900 5924 API: GET /api/language-selector-config/
INFO 2025-06-03 10:14:45,528 basehttp 13900 5924 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:15:15,503 basehttp 13900 12848 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:15:15,509 middleware 13900 11728 API: GET /api/language-selector-config/
INFO 2025-06-03 10:15:15,533 basehttp 13900 11728 "GET /api/language-selector-config/ HTTP/1.1" 200 74
